dataset,method,graph,target,feature,n_valid,mean_when_correct,mean_when_error,auroc_error_oriented
setfit_ag_news,graphsvx,window,bert_correct,top1_match,7600,0.03324449431897882,0.027600849256900213,0.5028218225310394
setfit_ag_news,graphsvx,window,gnn_correct_gold,jaccard_k20,7600,0.1136363217415036,0.11876028635305608,0.48982089096404985
setfit_ag_news,graphsvx,window,gnn_correct_gold,jaccard_top5,7600,0.08901958528983253,0.09126278031971984,0.49959460033433145
setfit_ag_news,graphsvx,window,gnn_correct_gold,spearman,7600,0.04726808010807352,0.04156927252614261,0.5051574371560992
setfit_ag_news,graphsvx,window,gnn_correct_gold,top1_match,7600,0.033816425120772944,0.021352313167259787,0.5062320559767566
setfit_ag_news,graphsvx,window,gnn_agrees_teacher,jaccard_k20,7600,0.11395608552965487,0.11564579726552922,0.5029189930102048
setfit_ag_news,graphsvx,window,gnn_agrees_teacher,jaccard_top5,7600,0.08928950182018085,0.0863169829335243,0.519526676658923
setfit_ag_news,graphsvx,window,gnn_agrees_teacher,spearman,7600,0.046987273462024776,0.04296998266851082,0.5054286759986959
setfit_ag_news,graphsvx,window,gnn_agrees_teacher,top1_match,7600,0.03354240523588765,0.015037593984962405,0.5092524056254627
setfit_ag_news,graphsvx,skipgrams,bert_correct,jaccard_k20,7600,0.11183000861472935,0.11175304731306093,0.5070195627500366
setfit_ag_news,graphsvx,skipgrams,bert_correct,jaccard_top5,7600,0.08735057121927652,0.0918764533414215,0.49351442435267096
setfit_ag_news,graphsvx,skipgrams,bert_correct,spearman,7600,0.04015489035627498,0.039887622250115114,0.5044239327480025
setfit_ag_news,graphsvx,skipgrams,bert_correct,top1_match,7600,0.034647215598260624,0.044585987261146494,0.4950306141685571
setfit_ag_news,graphsvx,skipgrams,gnn_correct_gold,jaccard_k20,7600,0.11182740528174526,0.11179821478102414,0.5011690132610809
setfit_ag_news,graphsvx,skipgrams,gnn_correct_gold,jaccard_top5,7600,0.08733429888915961,0.09133316447146234,0.4888747182675521
setfit_ag_news,graphsvx,skipgrams,gnn_correct_gold,spearman,7600,0.040173255741780614,0.03970258161439747,0.5029773424616663
setfit_ag_news,graphsvx,skipgrams,gnn_correct_gold,top1_match,7600,0.03482092097782831,0.040780141843971635,0.49702038956692834
setfit_ag_news,graphsvx,skipgrams,gnn_agrees_teacher,jaccard_k20,7600,0.11195342801221111,0.10824910788313417,0.5168254966882269
setfit_ag_news,graphsvx,skipgrams,gnn_agrees_teacher,jaccard_top5,7600,0.08769424811403823,0.0858681875792142,0.5131911230696439
setfit_ag_news,graphsvx,skipgrams,gnn_agrees_teacher,spearman,7600,0.04001707962541433,0.043520799308074995,0.4965358661837419
setfit_ag_news,graphsvx,skipgrams,gnn_agrees_teacher,top1_match,7600,0.03516423606378629,0.03802281368821293,0.4985707111877867
setfit_ag_news,subgraphx,constituency,bert_correct,jaccard_k20,7600,0.07691309058538294,0.07609790373541428,0.49919053154201964
setfit_ag_news,subgraphx,constituency,bert_correct,jaccard_top5,7600,0.059592832316917047,0.06565733158089847,0.48031425126103455
setfit_ag_news,subgraphx,constituency,bert_correct,spearman,7600,0.04689410529841324,0.05013696011594535,0.495481807955842
setfit_ag_news,subgraphx,constituency,bert_correct,top1_match,7600,0.029877963248702483,0.04246284501061571,0.4937075591190434
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,jaccard_k20,7600,0.07702122347198453,0.07492059116448047,0.5039346141905972
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,jaccard_top5,7600,0.059719228805479876,0.06302195675017976,0.48787926576350055
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,spearman,7600,0.046329396919986686,0.05646732077904495,0.4870094254193731
setfit_ag_news,subgraphx,constituency,gnn_correct_gold,top1_match,7600,0.029746655280387134,0.041811846689895474,0.4939674042952458
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,jaccard_k20,7600,0.07694222263631624,0.07467496947740884,0.5011706354374638
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,jaccard_top5,7600,0.05981170139768258,0.06427976933594912,0.48232606078621554
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,spearman,7600,0.04580662034989894,0.08248178974228207,0.44666688118101383
setfit_ag_news,subgraphx,constituency,gnn_agrees_teacher,top1_match,7600,0.030410473203327425,0.03745318352059925,0.4964786448413641
setfit_ag_news,subgraphx,syntactic,bert_correct,jaccard_k20,7600,0.11297048007381978,0.12024787144562799,0.4814739533123134
setfit_ag_news,subgraphx,syntactic,bert_correct,jaccard_top5,7600,0.08819109071598903,0.0968220267583325,0.47886655951186496
setfit_ag_news,subgraphx,syntactic,bert_correct,spearman,7600,0.02999277959160827,0.028087235603876114,0.4993681797889605
setfit_ag_news,subgraphx,syntactic,bert_correct,top1_match,7600,0.02945714686491794,0.021231422505307854,0.504112862179805
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,jaccard_k20,7600,0.11295076292998356,0.11885423096509405,0.48747712560789963
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,jaccard_top5,7600,0.08829109758477789,0.09374508879459374,0.488465596631153
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,spearman,7600,0.030406013492537912,0.02374250051351624,0.5072791058059195
setfit_ag_news,subgraphx,syntactic,gnn_correct_gold,top1_match,7600,0.03002573634543895,0.0165016501650165,0.5067620430902112
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,jaccard_k20,7600,0.11339813198853105,0.11395805875293498,0.4981294757117716
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,jaccard_top5,7600,0.08884410096136032,0.08601221771568773,0.5081370080534117
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,spearman,7600,0.030351031660307125,0.01893075740058113,0.512114552232826
setfit_ag_news,subgraphx,syntactic,gnn_agrees_teacher,top1_match,7600,0.029932720032953452,0.006309148264984227,0.5118117858839847
setfit_ag_news,subgraphx,window,bert_correct,jaccard_k20,7600,0.11764653211784173,0.11915450312557464,0.494752303545311
setfit_ag_news,subgraphx,window,bert_correct,jaccard_top5,7600,0.09340843458531775,0.09472416001078422,0.49802934040233376
setfit_ag_news,subgraphx,window,bert_correct,spearman,7600,0.04123818719414724,0.04643505693463155,0.4924963346088864
setfit_ag_news,subgraphx,window,bert_correct,top1_match,7600,0.033805582830691544,0.027600849256900213,0.5031023667868957
setfit_ag_news,subgraphx,window,gnn_correct_gold,jaccard_k20,7600,0.11728917628315903,0.1233855440558118,0.48390675832971797
setfit_ag_news,subgraphx,window,gnn_correct_gold,jaccard_top5,7600,0.09312541441697453,0.09805541433655314,0.4899226517158001
setfit_ag_news,subgraphx,window,gnn_correct_gold,spearman,7600,0.04036648620430642,0.05650999718394761,0.4778559755430358
setfit_ag_news,subgraphx,window,gnn_correct_gold,top1_match,7600,0.033816425120772944,0.028469750889679714,0.5026733371155466
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,jaccard_k20,7600,0.11730651111889526,0.129691525918277,0.4661887367723919
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,jaccard_top5,7600,0.09319336770250325,0.10166786012650676,0.4791405668520907
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,spearman,7600,0.04030382205450621,0.07620194502082178,0.44935730381311884
setfit_ag_news,subgraphx,window,gnn_agrees_teacher,top1_match,7600,0.03367875647668394,0.02631578947368421,0.5036814835014999
setfit_ag_news,subgraphx,skipgrams,bert_correct,jaccard_k20,7600,0.11768174344085812,0.1182753782164891,0.497550449570681
setfit_ag_news,subgraphx,skipgrams,bert_correct,jaccard_top5,7600,0.09303938529636384,0.09885249216459409,0.4891658394780567
setfit_ag_news,subgraphx,skipgrams,bert_correct,spearman,7600,0.04280888680837487,0.04652338250996598,0.4945722727569192
setfit_ag_news,subgraphx,skipgrams,bert_correct,top1_match,7600,0.03394585495861972,0.040339702760084924,0.4968030760992673
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,jaccard_k20,7600,0.11759052818654132,0.11931541810166515,0.49458622625685944
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,jaccard_top5,7600,0.09311578999611975,0.09694078577057301,0.49084394743951076
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,spearman,7600,0.041924328595094054,0.05694590642556148,0.47823327043492636
setfit_ag_news,subgraphx,skipgrams,gnn_correct_gold,top1_match,7600,0.033257532689027855,0.047872340425531915,0.492692596131748
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,jaccard_k20,7600,0.11753846290814106,0.12274201434529602,0.4758928002296812
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,jaccard_top5,7600,0.09334456148549103,0.09493632687549038,0.4860253074292442
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,spearman,7600,0.042111713356103184,0.06891036625615744,0.46421466073047124
setfit_ag_news,subgraphx,skipgrams,gnn_agrees_teacher,top1_match,7600,0.03434646313207033,0.034220532319391636,0.5000629654063394
stanfordnlp_sst2,graphsvx,constituency,bert_correct,jaccard_k20,872,0.15474654497310525,0.1353161298366778,0.5342894371388893
stanfordnlp_sst2,graphsvx,constituency,bert_correct,jaccard_top5,872,0.20781234479607447,0.18721461187214614,0.537392631199959
stanfordnlp_sst2,graphsvx,constituency,bert_correct,spearman,870,0.02472052287585417,0.05196538122568079,0.4777160928825561
stanfordnlp_sst2,graphsvx,constituency,bert_correct,top1_match,872,0.07759699624530664,0.0684931506849315,0.5045519227801875
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,jaccard_k20,872,0.1556109036019109,0.13298443454693454,0.5307734643470791
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,jaccard_top5,872,0.20924153166421208,0.18059689153439154,0.5404115657216494
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,spearman,870,0.024736858259969654,0.045306263211603755,0.47428805986218775
stanfordnlp_sst2,graphsvx,constituency,gnn_correct_gold,top1_match,872,0.07860824742268041,0.0625,0.5080541237113403
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,jaccard_k20,872,0.15601993853971835,0.11523252732930152,0.5505077658303466
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,jaccard_top5,872,0.21084460121497162,0.14394521249359957,0.5921445639187575
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,spearman,870,0.028564480591707523,0.006703697474690263,0.5180154104120089
stanfordnlp_sst2,graphsvx,constituency,gnn_agrees_teacher,top1_match,872,0.07901234567901234,0.04838709677419355,0.5153126244524094
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,jaccard_k20,872,0.18298646717994432,0.16370668904915478,0.5053148627565278
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,jaccard_top5,872,0.24705981683453523,0.24472711459012828,0.48028357364513863
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,spearman,870,0.16148356808126188,0.14265241827906927,0.5144205152884963
stanfordnlp_sst2,graphsvx,syntactic,bert_correct,top1_match,872,0.08135168961201501,0.0410958904109589,0.5201278996005281
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,jaccard_k20,872,0.18578519066145308,0.15048325782270736,0.5410318996717448
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,jaccard_top5,872,0.25029644885477126,0.22284112421727098,0.5191782798465738
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,spearman,870,0.1632154074882222,0.13678078162018992,0.5227609736102907
stanfordnlp_sst2,graphsvx,syntactic,gnn_correct_gold,top1_match,872,0.08256880733944955,0.045871559633027525,0.518348623853211
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,jaccard_k20,872,0.183520300087826,0.15714105925373528,0.5348156353853457
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,jaccard_top5,872,0.2523829340308741,0.1846076458752515,0.5709236693569658
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,spearman,870,0.16417211945760246,0.1118662936410341,0.5537203194133511
stanfordnlp_sst2,graphsvx,syntactic,gnn_agrees_teacher,top1_match,872,0.08239700374531835,0.028169014084507043,0.5271139948304057
stanfordnlp_sst2,graphsvx,window,bert_correct,jaccard_k20,872,0.18226929025721633,0.19291636825883401,0.48324103759836784
stanfordnlp_sst2,graphsvx,window,bert_correct,jaccard_top5,872,0.25534894808987424,0.2638617090671885,0.483112452209097
stanfordnlp_sst2,graphsvx,window,bert_correct,spearman,870,0.17034514305603746,0.17194755385546553,0.5003093793506471
stanfordnlp_sst2,graphsvx,window,bert_correct,top1_match,872,0.08385481852315395,0.0547945205479452,0.5145301489876044
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,jaccard_k20,872,0.18232256398581068,0.18977952319789052,0.4755510731424353
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,jaccard_top5,872,0.25519359337188796,0.26291707159054095,0.4752478510784159
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,spearman,870,0.16878153042168512,0.18385621389357068,0.47518372634027695
stanfordnlp_sst2,graphsvx,window,gnn_correct_gold,top1_match,872,0.08397932816537468,0.061224489795918366,0.5113774191847281
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,jaccard_k20,872,0.18477820837446504,0.16045855485510657,0.5623782089299333
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,jaccard_top5,872,0.25956475956475955,0.20689655172413793,0.5567546386511902
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,spearman,870,0.17191124991643503,0.1504364743959584,0.5210633599456429
stanfordnlp_sst2,graphsvx,window,gnn_agrees_teacher,top1_match,872,0.08230958230958231,0.06896551724137931,0.5066720325341014
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,jaccard_k20,872,0.17712532899880087,0.1634926717118498,0.4935707305364582
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,jaccard_top5,872,0.257117031209647,0.2398891063274625,0.5054777375829376
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,spearman,870,0.1694887953416641,0.19130683298047593,0.47215585844175934
stanfordnlp_sst2,graphsvx,skipgrams,bert_correct,top1_match,872,0.08135168961201501,0.1095890410958904,0.4858813242580623
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,jaccard_k20,872,0.17352113350403692,0.19378221359353437,0.45569363022809
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,jaccard_top5,872,0.25588503460566125,0.25415543575920935,0.48227129415242126
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,spearman,870,0.1696941101293858,0.18303460901915397,0.48094067964042286
stanfordnlp_sst2,graphsvx,skipgrams,gnn_correct_gold,top1_match,872,0.0835509138381201,0.08490566037735849,0.4993226267303808
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,jaccard_k20,872,0.1751085718547019,0.18571174196174195,0.4861718749999999
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,jaccard_top5,872,0.259156746031746,0.2169863315696649,0.544453125
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,spearman,870,0.1723913103974698,0.15944031941250225,0.5154291979949875
stanfordnlp_sst2,graphsvx,skipgrams,gnn_agrees_teacher,top1_match,872,0.0825,0.09722222222222222,0.4926388888888889
stanfordnlp_sst2,subgraphx,constituency,bert_correct,jaccard_k20,872,0.11962902268247182,0.10577329823905167,0.5495996708214034
stanfordnlp_sst2,subgraphx,constituency,bert_correct,jaccard_top5,872,0.18083914416830563,0.1463361600347902,0.5677816448642996
stanfordnlp_sst2,subgraphx,constituency,bert_correct,spearman,870,0.17802734069596873,0.09104003554746026,0.5999209363881679
stanfordnlp_sst2,subgraphx,constituency,bert_correct,top1_match,872,0.052565707133917394,0.0547945205479452,0.4988855932929861
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,jaccard_k20,872,0.120619183138134,0.10108910187035186,0.5411028780068728
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,jaccard_top5,872,0.18315128456881033,0.13591269841269843,0.5729502255154639
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,spearman,870,0.18327536243628637,0.06956856879131314,0.611030361757106
stanfordnlp_sst2,subgraphx,constituency,gnn_correct_gold,top1_match,872,0.05412371134020619,0.041666666666666664,0.5062285223367697
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,jaccard_k20,872,0.11974177803153836,0.10184193047096272,0.5331939466348069
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,jaccard_top5,872,0.18143053106016072,0.1324884792626728,0.5589804858622063
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,spearman,870,0.18024112593627714,0.046756183437737964,0.6199297349089748
stanfordnlp_sst2,subgraphx,constituency,gnn_agrees_teacher,top1_match,872,0.05432098765432099,0.03225806451612903,0.5110314615690961
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,jaccard_k20,872,0.16735830211663003,0.1252224944005766,0.5679873814871329
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,jaccard_top5,872,0.25521485189820603,0.2187432050445749,0.5532772129545493
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,spearman,870,0.1464932386881222,0.06135659484727487,0.5783503205513827
stanfordnlp_sst2,subgraphx,syntactic,bert_correct,top1_match,872,0.07759699624530664,0.0547945205479452,0.5114012378486807
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,jaccard_k20,872,0.1680699923450959,0.13415707635891122,0.5462683516298532
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,jaccard_top5,872,0.25793130707940665,0.21177370030581036,0.5483785636129714
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,spearman,870,0.14571964389827935,0.09487608854765028,0.5407539572508409
stanfordnlp_sst2,subgraphx,syntactic,gnn_correct_gold,top1_match,872,0.07732634338138926,0.06422018348623854,0.5065530799475754
stanfordnlp_sst2,subgraphx,syntactic,gnn_agrees_teacher,jaccard_k20,872,0.16611712937793344,0.13803809648880072,0.5329517680364333
stanfordnlp_sst2,subgraphx,syntactic,gnn_agrees_teacher,jaccard_top5,872,0.2584765075401779,0.18091884641180417,0.5665101721439749
stanfordnlp_sst2,subgraphx,syntactic,gnn_agrees_teacher,spearman,870,0.14390370195873317,0.08809978582051642,0.5410900950131325
stanfordnlp_sst2,subgraphx,syntactic,gnn_agrees_teacher,top1_match,872,0.07865168539325842,0.04225352112676056,0.518199082133249
stanfordnlp_sst2,subgraphx,window,bert_correct,jaccard_k20,872,0.16578540869014252,0.1286022196981101,0.5799458226893205
stanfordnlp_sst2,subgraphx,window,bert_correct,jaccard_top5,872,0.26464628404553314,0.217058056099152,0.5612752241671953
stanfordnlp_sst2,subgraphx,window,bert_correct,spearman,870,0.18562151934086013,0.10560875094850126,0.5895653220123408
stanfordnlp_sst2,subgraphx,window,bert_correct,top1_match,872,0.06382978723404255,0.0684931506849315,0.4976683182745555
stanfordnlp_sst2,subgraphx,window,gnn_correct_gold,jaccard_k20,872,0.16513326420417163,0.14323833762609275,0.5430113906027528
stanfordnlp_sst2,subgraphx,window,gnn_correct_gold,jaccard_top5,872,0.26763155736023947,0.20562034337544538,0.5681524547803618
stanfordnlp_sst2,subgraphx,window,gnn_correct_gold,spearman,870,0.1906128885977397,0.08670040547399041,0.61671248810405
stanfordnlp_sst2,subgraphx,window,gnn_correct_gold,top1_match,872,0.06589147286821706,0.05102040816326531,0.507435532352476
stanfordnlp_sst2,subgraphx,window,gnn_agrees_teacher,jaccard_k20,872,0.16571835027717383,0.11992700785804233,0.5873718546132339
stanfordnlp_sst2,subgraphx,window,gnn_agrees_teacher,jaccard_top5,872,0.2682763932763933,0.1538040503557745,0.6524188765568076
stanfordnlp_sst2,subgraphx,window,gnn_agrees_teacher,spearman,870,0.18711659135289746,0.06398478543712682,0.6284185493460166
stanfordnlp_sst2,subgraphx,window,gnn_agrees_teacher,top1_match,872,0.0687960687960688,0.0,0.5343980343980343
stanfordnlp_sst2,subgraphx,skipgrams,bert_correct,jaccard_k20,872,0.16968396499980096,0.14057198509253302,0.552205668043959
stanfordnlp_sst2,subgraphx,skipgrams,bert_correct,jaccard_top5,872,0.26506843872300695,0.22211350293542076,0.5512969979597785
stanfordnlp_sst2,subgraphx,skipgrams,bert_correct,spearman,870,0.18403404650410243,0.10078202442676305,0.5979013767381103
stanfordnlp_sst2,subgraphx,skipgrams,bert_correct,top1_match,872,0.057571964956195244,0.0410958904109589,0.5082380372726182
stanfordnlp_sst2,subgraphx,skipgrams,gnn_correct_gold,jaccard_k20,872,0.17108355666756833,0.1395211182947032,0.5527550618257058
stanfordnlp_sst2,subgraphx,skipgrams,gnn_correct_gold,jaccard_top5,872,0.2686083136474781,0.2099056603773585,0.5739075816542687
stanfordnlp_sst2,subgraphx,skipgrams,gnn_correct_gold,spearman,870,0.19149386543760627,0.0729331099301144,0.6364652276992987
stanfordnlp_sst2,subgraphx,skipgrams,gnn_correct_gold,top1_match,872,0.0587467362924282,0.03773584905660377,0.5105054436179122
stanfordnlp_sst2,subgraphx,skipgrams,gnn_agrees_teacher,jaccard_k20,872,0.16975748414167532,0.139350772684106,0.5477083333333334
stanfordnlp_sst2,subgraphx,skipgrams,gnn_agrees_teacher,jaccard_top5,872,0.26873511904761904,0.18077601410934743,0.6109461805555556
stanfordnlp_sst2,subgraphx,skipgrams,gnn_agrees_teacher,spearman,870,0.18660516953381803,0.07112913276300738,0.6279239766081871
stanfordnlp_sst2,subgraphx,skipgrams,gnn_agrees_teacher,top1_match,872,0.06,0.013888888888888888,0.5230555555555556
