dataset,method,graph,signal,auroc,auprc
stanfordnlp_sst2,graphsvx,skipgrams,surrogate confidence + explanation,0.807499099902275,0.2666823912278645
stanfordnlp_sst2,graphsvx,skipgrams,surrogate explanation,0.8063846931952612,0.2727786845992116
stanfordnlp_sst2,graphsvx,skipgrams,surrogate conf + expl + disagreement,0.805681759733914,0.26139634758358093
stanfordnlp_sst2,subgraphx,constituency,surrogate confidence,0.8208548356678724,0.27825723068750396
stanfordnlp_sst2,subgraphx,constituency,surrogate confidence + explanation,0.8077734153993863,0.31189138460946086
stanfordnlp_sst2,subgraphx,constituency,surrogate explanation,0.7852623999177053,0.30532877700621863
stanfordnlp_sst2,subgraphx,constituency,surrogate conf + expl + disagreement,0.8095907555677474,0.30959649330240896
stanfordnlp_sst2,subgraphx,syntactic,surrogate confidence,0.8299929706653866,0.28831186802357905
stanfordnlp_sst2,subgraphx,syntactic,surrogate confidence + explanation,0.8167572479297752,0.2507637560708713
stanfordnlp_sst2,subgraphx,syntactic,surrogate explanation,0.7889485144101359,0.2074832753880316
stanfordnlp_sst2,subgraphx,syntactic,surrogate conf + expl + disagreement,0.8160371697498585,0.24875041755325647
stanfordnlp_sst2,subgraphx,window,surrogate confidence,0.8155056834742058,0.2644069857006641
stanfordnlp_sst2,subgraphx,window,surrogate confidence + explanation,0.8124539235688446,0.2830448382222606
stanfordnlp_sst2,subgraphx,window,surrogate explanation,0.8092650059149279,0.26396454064832386
stanfordnlp_sst2,subgraphx,window,surrogate conf + expl + disagreement,0.8089735456992474,0.270993849391339
stanfordnlp_sst2,subgraphx,skipgrams,surrogate confidence,0.8314845611809282,0.26710532191169095
stanfordnlp_sst2,subgraphx,skipgrams,surrogate confidence + explanation,0.824575239597442,0.29150742684662473
stanfordnlp_sst2,subgraphx,skipgrams,surrogate explanation,0.781044799149622,0.25482731272058007
stanfordnlp_sst2,subgraphx,skipgrams,surrogate conf + expl + disagreement,0.8215577691292197,0.2841745695794308
